ContextID	Compound	Mod	Head	Context
NCTTI-0000	academy award	academy	award	lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year
NCTTI-0001	academy award	academy	award	academy award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .
NCTTI-0002	acid test	acid	test	on the fate of the acle straight within weeks . this is seen as an acid test of the government ' s commitment to protecting our most valuable environments ( 3 ) .
NCTTI-0003	acid test	acid	test	such markers ' whilst being ungodly even , unconverted underneath . the acid test of how i am spiritually is not those externals but the character - change worked by jesus
NCTTI-0004	acid test	acid	test	. they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid test life as an in the midst . with ethical problems institute author sells big new
NCTTI-0005	agony aunt	agony	aunt	"feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,"
NCTTI-0006	agony aunt	agony	aunt	the bottom fell out of the knob business . bob ' s probs - bob ' s agony aunt phone line went out of business because bob kept laughing at peoples problems . your
NCTTI-0007	agony aunt	agony	aunt	challenging test . i think it must sound as if it were written to an agony aunt asking for help . ps . i have the same problems writing in my own
NCTTI-0008	ancient history	ancient	history	the days of triple - digit growth now seem like ancient history .
NCTTI-0009	ancient history	ancient	history	so be brave , be ready to change your views or be ancient history .
NCTTI-0010	application form	application	form	in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (
NCTTI-0011	application form	application	form	to apply click on the apply now ' link and fill in our online application form . we look forward to hearing from you . using ict in foundation stage teaching
NCTTI-0012	application form	application	form	capture / forms processing software . forms processing can enable documents such as surveys , application forms , invoices and questionnaires to be scanned and automatically processed to a database . the
NCTTI-0013	arcade game	arcade	game	the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .
NCTTI-0014	arcade game	arcade	game	pac - man - play the most popular arcade game of all time !
NCTTI-0015	armchair critic	armchair	critic	he will be quoted as an example of ' all that is wrong with the game ' by every armchair critic in wales .
NCTTI-0016	armchair critic	armchair	critic	i caught the train to get back home to be an armchair critic of england ' s football team performance against jamaica .
NCTTI-0017	baby blues	baby	blues	while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .
NCTTI-0018	baby buggy	baby	buggy	can i take my baby buggy on to the london eye ?
NCTTI-0019	baby buggy	baby	buggy	a british company has launched the world ' s first baby buggy with a pollution proof passenger capsule .
NCTTI-0020	backroom boy	backroom	boy	there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls '
NCTTI-0021	bad apple	bad	apple	the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .
NCTTI-0022	bad apple	bad	apple	however it ' s the same old story : a few bad apples and we all get it in the neck !
NCTTI-0023	bad hat	bad	hat	one month later still another bad hat came along to further harass him
NCTTI-0024	bad hat	bad	hat	the jury heard the evidence presented , that he was general bad hat .
NCTTI-0025	balance sheet	balance	sheet	in the enron corp . ' s partnerships which were not even entered on enron ' s balance sheet because derivatives are still unregulated and do n ' t have to be reported . and once
NCTTI-0026	balance sheet	balance	sheet	to translate into something that can be finessed down to a statutory line on the balance sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by
NCTTI-0027	balance sheet	balance	sheet	purpose for which the assets are held . explain how the financial position at the balance sheet date will affect the future commitments of the charity . give reasons for any change
NCTTI-0028	banana republic	banana	republic	the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana republic .
NCTTI-0029	bank account	bank	account	you can pay with bank transfer directly into our bank accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc
NCTTI-0030	bank account	bank	account	away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank account i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s
NCTTI-0031	bank account	bank	account	". "" more and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued cluley . "" all internet users need"
NCTTI-0032	bankruptcy proceeding	bankruptcy	proceeding	geoffrey richmond was today the subject of bankruptcy proceedings at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .
NCTTI-0033	bankruptcy proceeding	bankruptcy	proceeding	they are aware that funds / assets in the bankruptcy proceedings cannot be made available for the payment of their fees .
NCTTI-0034	basket case	basket	case	i ' d forgotten what a basket case i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !
NCTTI-0035	benign tumour	benign	tumour	prince came onboard to have a large benign tumour removed from his head .
NCTTI-0036	benign tumour	benign	tumour	we were told at that time it was a slow growing benign tumour and to watch and wait .
NCTTI-0037	benign tumour	benign	tumour	completely benign tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) .
NCTTI-0038	best man	best	man	all stories aside neil is a great mate and it made me extremely proud to be asked to be his best man
NCTTI-0039	best man	best	man	a best man speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials
NCTTI-0040	big cheese	big	cheese	i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and big cheeses from well established companies .
NCTTI-0041	big fish	big	fish	the criminals are after big fishes than journalists , and usually concentrate on the richer countries .
NCTTI-0042	big fish	big	fish	the big fish will always claim the best lies , with smaller fish in progressively less pleasant lies .
NCTTI-0043	big picture	big	picture	whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the big picture .
NCTTI-0044	big picture	big	picture	going to india has made me much more confident and self - assured and also opened my eyes to the much big picture .
NCTTI-0045	big picture	big	picture	don ' t become so wrapped up in schemes or projects that you take your eye off the big picture
NCTTI-0046	big wig	big	wig	the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political big wigs and the like .
NCTTI-0047	biological clock	biological	clock	the biological clock ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .
NCTTI-0048	biological clock	biological	clock	closely allied to these theories is that of the biological clock with triggers at certain stages of development for the ageing process
NCTTI-0049	biological clock	biological	clock	in mammals , the biological clock is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus .
NCTTI-0050	birth rate	birth	rate	the birth rate necessary for a nation to reproduce itself is 2 . 2 children per couple .
NCTTI-0051	birth rate	birth	rate	the government still promotes and funds abortion and other measures designed to cut the birth rate .
NCTTI-0052	black box	black	box	smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process .
NCTTI-0053	black box	black	box	my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale black box .
NCTTI-0054	black box	black	box	if the black box flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?
NCTTI-0055	black cherry	black	cherry	plum and black cherry scented , this can be enjoyed now or cellared .
NCTTI-0056	black operation	black	operation	on the one hand the cia acquired $ 4 billion for use in future black operations .
NCTTI-0057	black operation	black	operation	"lansdale ' s job was to provide "" actors "" for certain black operations deployed by the covert operatives ."
NCTTI-0058	blame game	blame	game	", and then returning home to play to their national audiences , with "" the blame game "" against eu institutions . "" if there is not enough democratic development , not"
NCTTI-0059	blame game	blame	game	or more efficient than before . while the mayor and transport for london play the blame game , pointing at past governments and private contractors , londoners can look forward to a
NCTTI-0060	blame game	blame	game	basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the blame game started in earnest this weekend after yet more carnage in the middle east . thousands
NCTTI-0061	blind alley	blind	alley	the science of economics has been led up a blind alley by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .
NCTTI-0062	blind alley	blind	alley	there have been several blind alleys and wrong turnings , but the company ' s progress has generally been true to the original concept .
NCTTI-0063	blood bath	blood	bath	what was meant to be the perfect crime turns into a nasty gang war resulting in a blood bath on the glorious streets of 1950s paris .
NCTTI-0064	blood bath	blood	bath	kurds now stuck in kirkuk fear the same kind of blood bath if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said .
NCTTI-0065	blue blood	blue	blood	the cloister attracted vacationing blue bloods , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .
NCTTI-0066	blue blood	blue	blood	in fact she had seriously blue blood flowing in her veins and had important dynastic links with the royal family itself .
NCTTI-0067	blue blood	blue	blood	european blue bloods , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow .
NCTTI-0068	blue print	blue	print	our free health check will give you the blue print to identify , select and measure the key metrics to enable you to better manage your service delivery .
NCTTI-0069	blue print	blue	print	projects of reclamation both connect us in a struggle for social justice and also provide a blue print for more dynamic modes of existence .
NCTTI-0070	blue print	blue	print	an architectures isn ' t a blue print for designing a single systems , but a framework for designing a range of systems over time .
