ContextID	ParticleVerb	Base	Particle	Avg	Std	Context
NCTTI-0000	academy award	academy	award	3.6000	1.5133	lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year
NCTTI-0001	academy award	academy	award	4.3000	1.5133	academy award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .
NCTTI-0002	acid test	acid	test	0.8500	1.5133	on the fate of the acle straight within weeks . this is seen as an acid test of the government ' s commitment to protecting our most valuable environments ( 3 ) .
NCTTI-0003	acid test	acid	test	1.2000	1.5133	such markers ' whilst being ungodly even , unconverted underneath . the acid test of how i am spiritually is not those externals but the character - change worked by jesus
NCTTI-0004	acid test	acid	test	1.2700	1.5133	. they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid test life as an in the midst . with ethical problems institute author sells big new
NCTTI-0005	agony aunt	agony	aunt	0.8300	1.5133	"feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,"
NCTTI-0006	agony aunt	agony	aunt	1.4700	1.5133	the bottom fell out of the knob business . bob ' s probs - bob ' s agony aunt phone line went out of business because bob kept laughing at peoples problems . your
NCTTI-0007	agony aunt	agony	aunt	0.5000	1.5133	challenging test . i think it must sound as if it were written to an agony aunt asking for help . ps . i have the same problems writing in my own
NCTTI-0008	ancient history	ancient	history	3.3600	1.5133	the days of triple - digit growth now seem like ancient history .
NCTTI-0009	ancient history	ancient	history	3.0000	1.5133	so be brave , be ready to change your views or be ancient history .
NCTTI-0010	application form	application	form	4.5800	1.5133	in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (
NCTTI-0011	application form	application	form	4.2700	1.5133	to apply click on the apply now ' link and fill in our online application form . we look forward to hearing from you . using ict in foundation stage teaching
NCTTI-0012	application form	application	form	4.2000	1.5133	capture / forms processing software . forms processing can enable documents such as surveys , application forms , invoices and questionnaires to be scanned and automatically processed to a database . the
NCTTI-0013	arcade game	arcade	game	4.1000	1.5133	the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .
